edition	version	module	symsrv_key	pdb_path
classic	1.06b	D2Direct3D.dll	3B02CAE91	C:\Projects\D2106\Release\D2Direct3D.pdb
classic	1.06b	D2Game.dll	3B02C9D61	C:\Projects\D2106\Release\D2Game.pdb
classic	1.06b	D2Gdi.dll	3B02CAED1	C:\Projects\D2106\Release\D2Gdi.pdb
classic	1.06b	D2Glide.dll	3B02CAF41	C:\Projects\D2106\Release\D2Glide.pdb
classic	1.06b	D2Lang.dll	3B02C8FC1	C:\Projects\D2106\Release\D2Lang.pdb
classic	1.06b	D2Launch.dll	3B02CB051	C:\Projects\D2106\Release\D2Launch.pdb
classic	1.06b	D2MCPClient.dll	3B02CA061	C:\Projects\D2106\Release\D2MCPClient.pdb
classic	1.06b	D2Multi.dll	3B02CB0D1	C:\Projects\D2106\Release\D2Multi.pdb
classic	1.06b	D2Net.dll	3B02C94B1	C:\Projects\D2106\Release\D2Net.pdb
classic	1.06b	D2Sound.dll	3B02CA0C1	C:\Projects\D2106\Release\D2Sound.pdb
classic	1.06b	D2Win.dll	3B02CA1A1	C:\Projects\D2106\Release\D2Win.pdb
classic	1.06b	D2gfx.dll	3B02C9FF1	C:\Projects\D2106\Release\D2gfx.pdb
classic	1.06b	Fog.dll	3B02C8EC1	C:\Projects\D2106\Release\Fog.pdb
classic	1.06b	Storm.dll	3AE07BC11	C:\D2\Release\Storm.pdb
classic	1.08	Bnclient.dll	3B2EB28E1	C:\Projects\Diablo2\Release\Bnclient.pdb
classic	1.08	D2CMP.dll	3B2EB2811	C:\Projects\Diablo2\Release\D2CMP.pdb
classic	1.08	D2Client.dll	3B2EB4371	C:\Projects\Diablo2\Release\D2Client.pdb
classic	1.08	D2Common.dll	3B2EB2DD1	C:\Projects\Diablo2\Release\D2Common.pdb
classic	1.08	D2DDraw.dll	3B2EB44C1	C:\Projects\Diablo2\Release\D2DDraw.pdb
classic	1.08	D2Direct3D.dll	3B2EB4531	C:\Projects\Diablo2\Release\D2Direct3D.pdb
classic	1.08	D2Game.dll	3B2EB3531	C:\Projects\Diablo2\Release\D2Game.pdb
classic	1.08	D2Gdi.dll	3B2EB4581	C:\Projects\Diablo2\Release\D2Gdi.pdb
classic	1.08	D2Glide.dll	3B2EB45E1	C:\Projects\Diablo2\Release\D2Glide.pdb
classic	1.08	D2Lang.dll	3B2EB2871	C:\Projects\Diablo2\Release\D2Lang.pdb
classic	1.08	D2Launch.dll	3B2EB46D1	C:\Projects\Diablo2\Release\D2Launch.pdb
classic	1.08	D2MCPClient.dll	3B2EB3621	C:\Projects\Diablo2\Release\D2MCPClient.pdb
classic	1.08	D2Multi.dll	3B2EB4781	C:\Projects\Diablo2\Release\D2Multi.pdb
classic	1.08	D2Net.dll	3B2EB2E61	C:\Projects\Diablo2\Release\D2Net.pdb
classic	1.08	D2Sound.dll	3B2EB3661	C:\Projects\Diablo2\Release\D2Sound.pdb
classic	1.08	D2Win.dll	3B2EB3781	C:\Projects\Diablo2\Release\D2Win.pdb
classic	1.08	D2gfx.dll	3B2EB35F1	C:\Projects\Diablo2\Release\D2gfx.pdb
classic	1.08	Fog.dll	3B2EB2771	C:\Projects\Diablo2\Release\Fog.pdb
classic	1.08	Storm.dll	3B1BFB441	C:\Projects\Diablo2\Release\Storm.pdb
classic	1.09	Bnclient.dll	3B7C4E2B1	C:\Projects\Diablo2\Release\Bnclient.pdb
classic	1.09	D2CMP.dll	3B7C4E191	C:\Projects\Diablo2\Release\D2CMP.pdb
classic	1.09	D2Client.dll	3B7C50761	C:\Projects\Diablo2\Release\D2Client.pdb
classic	1.09	D2Common.dll	3B7C4EA31	C:\Projects\Diablo2\Release\D2Common.pdb
classic	1.09	D2DDraw.dll	3B7C50891	C:\Projects\Diablo2\Release\D2DDraw.pdb
classic	1.09	D2Direct3D.dll	3B7C50901	C:\Projects\Diablo2\Release\D2Direct3D.pdb
classic	1.09	D2Game.dll	3B7C4F631	C:\Projects\Diablo2\Release\D2Game.pdb
classic	1.09	D2Gdi.dll	3B7C50961	C:\Projects\Diablo2\Release\D2Gdi.pdb
classic	1.09	D2Glide.dll	3B7C509D1	C:\Projects\Diablo2\Release\D2Glide.pdb
classic	1.09	D2Lang.dll	3B7C4E1E1	C:\Projects\Diablo2\Release\D2Lang.pdb
